Label,user_nIdx,UserName,Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,Vip
2,0,薪火鹏,1.0,17.0,2.0,1.0,30.0,56.0,692.0,0.0,0.0,0.0
0,1,提尔乌斯,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,猫的摇篮-伪物,1.0,11.0,1.0,1.0,917.0,1109.0,2013.0,0.0,0.0,0.0
1,3,非常神奇的老z,0.0,0.0,0.0,1.0,13.0,59.0,9.0,0.0,0.0,0.0
0,4,假装很强的萌新,1.0,10.0,0.0,1.0,14.0,34.0,107.0,0.0,1.0,0.0
4,5,空空今天养乐多了吗,1.0,8.0,0.0,0.0,403.0,1436.0,7101.0,1.0,1.0,1.0
2,6,阿卡牟-akamoo,1.0,12.0,0.0,1.0,36.0,146.0,30.0,0.0,0.0,0.0
2,7,Y口十子,1.0,5.0,0.0,1.0,1145.0,377.0,4991.0,0.0,0.0,0.0
3,8,斯蒂芬徐,1.0,3.0,1.0,1.0,352.0,1344.0,4089.0,0.0,0.0,0.0
5,9,FAITHLESSS,0.0,0.0,0.0,1.0,199.0,290.0,553.0,0.0,0.0,0.0
3,10,4K包子,1.0,4.0,0.0,1.0,93.0,178.0,261.0,0.0,0.0,0.0
2,11,Clown1008,1.0,8.0,2.0,1.0,778.0,980.0,9.0,0.0,0.0,0.0
1,12,绯色灼眼,0.0,0.0,0.0,1.0,319.0,901.0,1009.0,0.0,0.0,0.0
2,13,Luciferbear,1.0,17.0,3.0,1.0,272.0,4944.0,6101.0,0.0,0.0,0.0
0,14,zx小堕,1.0,4.0,0.0,1.0,283.0,487.0,336.0,0.0,0.0,0.0
4,15,让我成为自己的锚,1.0,10.0,0.0,0.0,102.0,352.0,700.0,0.0,0.0,0.0
0,16,翔锅就是大象,1.0,8.0,0.0,1.0,1552.0,2459.0,4235.0,0.0,0.0,0.0
4,17,DoctorRab,1.0,15.0,4.0,0.0,183.0,296.0,9500.0,0.0,0.0,0.0
2,18,燃烧de狒狒,1.0,21.0,1.0,1.0,115.0,265.0,199.0,0.0,0.0,0.0
0,19,lkx3377456,1.0,7.0,2.0,1.0,56.0,44.0,394.0,0.0,0.0,0.0
1,20,kirasaya,0.0,0.0,0.0,1.0,24.0,99.0,609.0,0.0,0.0,0.0
4,21,研_________永远的新人,0.0,0.0,0.0,0.0,6.0,88.0,5.0,0.0,0.0,0.0
1,22,Antares1906,0.0,0.0,0.0,0.0,49.0,178.0,41.0,0.0,0.0,0.0
4,23,糊糊浃浃,1.0,8.0,8.0,0.0,421.0,636.0,9639.0,0.0,0.0,0.0
2,24,馀妍,1.0,6.0,1.0,1.0,193.0,197.0,1075.0,0.0,0.0,1.0
4,25,肖申克的后妈,1.0,5.0,0.0,0.0,2427.0,674.0,7361.0,0.0,0.0,0.0
4,26,Sun_Has_Sunny,1.0,7.0,5.0,0.0,1156.0,1253.0,6383.0,0.0,0.0,1.0
0,27,牧雨童,1.0,4.0,1.0,1.0,48.0,249.0,375.0,0.0,0.0,0.0
2,28,曾几何时的乡巴佬,1.0,7.0,0.0,1.0,36.0,41.0,143.0,0.0,0.0,0.0
3,29,唯yuan有小爆脾气,1.0,8.0,0.0,0.0,276.0,399.0,8763.0,0.0,0.0,0.0
4,30,能力有限Company,1.0,11.0,1.0,0.0,21.0,17.0,8.0,0.0,0.0,0.0
0,31,FD_ZJ,1.0,7.0,0.0,1.0,920.0,2028.0,6679.0,0.0,0.0,0.0
3,32,超级抠的华子的同事,1.0,10.0,0.0,0.0,228.0,557.0,5074.0,0.0,0.0,0.0
0,33,TVemu,1.0,7.0,0.0,1.0,119.0,681.0,1243.0,0.0,0.0,0.0
0,34,DEV-7,1.0,18.0,0.0,1.0,2692.0,36.0,39.0,1.0,0.0,0.0
1,35,南十字星MX,0.0,0.0,0.0,1.0,63.0,380.0,148.0,0.0,0.0,0.0
2,36,Yan-zitiao,1.0,10.0,1.0,1.0,21899.0,337.0,47.0,0.0,0.0,1.0
2,37,sid456838,1.0,6.0,1.0,1.0,358.0,499.0,5868.0,0.0,0.0,1.0
0,38,途泱,1.0,9.0,1.0,1.0,211.0,418.0,312.0,0.0,0.0,0.0
5,39,GiarlDxin,0.0,0.0,0.0,1.0,202.0,592.0,696.0,0.0,0.0,0.0
2,40,only_5,1.0,2.0,0.0,1.0,69.0,184.0,421.0,0.0,0.0,0.0
0,41,l_Asuka_l,1.0,1.0,2.0,1.0,79.0,202.0,5317.0,0.0,0.0,0.0
2,42,三十建构设计工作室,1.0,28.0,4.0,1.0,364.0,165.0,38.0,0.0,0.0,0.0
5,43,漂小流,0.0,0.0,0.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0
0,44,MSK-友人A-,1.0,44.0,21.0,1.0,136.0,78.0,4989.0,0.0,0.0,0.0
2,45,逆风期多赚少花-aP,1.0,41.0,10.0,1.0,1622.0,479.0,12020.0,0.0,0.0,0.0
2,46,永冻豪宅,1.0,16.0,0.0,0.0,505.0,794.0,8027.0,0.0,0.0,1.0
0,47,超和平冬子,1.0,1.0,0.0,1.0,493.0,879.0,1784.0,0.0,0.0,0.0
0,48,jensouyzx,1.0,6.0,0.0,1.0,22.0,17.0,435.0,0.0,0.0,0.0
5,49,11223344八甲基环丁烷,0.0,0.0,0.0,1.0,95.0,288.0,1584.0,0.0,0.0,0.0
0,50,巖繭,1.0,8.0,1.0,1.0,829.0,777.0,8132.0,0.0,0.0,0.0
1,51,走运的猫,0.0,0.0,0.0,1.0,202.0,1391.0,157.0,0.0,0.0,0.0
4,52,Toshinmaro,1.0,13.0,2.0,0.0,2631.0,351.0,35008.0,1.0,0.0,0.0
2,53,林克没有时间,1.0,7.0,0.0,0.0,1076.0,631.0,874.0,0.0,0.0,0.0
5,54,夏天1227,0.0,0.0,0.0,1.0,186.0,302.0,498.0,0.0,0.0,0.0
0,55,伊伊伊然_,1.0,6.0,0.0,1.0,213.0,347.0,6772.0,0.0,0.0,1.0
2,56,Tusmuto,1.0,13.0,1.0,1.0,1768.0,5009.0,146598.0,0.0,0.0,0.0
5,57,JxmDY,0.0,0.0,0.0,1.0,74.0,130.0,242.0,0.0,0.0,0.0
0,58,D胡多多D,1.0,8.0,0.0,1.0,29728.0,992.0,360.0,1.0,0.0,1.0
2,59,丁悦律师,1.0,14.0,2.0,1.0,1553.0,2553.0,17732.0,1.0,0.0,0.0
2,60,毛毛熊abc,1.0,18.0,0.0,1.0,588.0,868.0,7300.0,0.0,0.0,0.0
4,61,沙豆布吉岛岛主,1.0,21.0,2.0,0.0,635.0,618.0,2818.0,0.0,0.0,0.0
0,62,智慧弟弟,1.0,1.0,1.0,1.0,490.0,501.0,3320.0,0.0,0.0,0.0
4,63,话唠专用矫正器,1.0,8.0,0.0,0.0,94.0,138.0,6095.0,0.0,0.0,0.0
0,64,J_Ukiyo,1.0,9.0,0.0,1.0,9506.0,612.0,1682.0,0.0,0.0,0.0
0,65,--领衔主演--,1.0,14.0,0.0,1.0,114.0,158.0,1737.0,0.0,0.0,0.0
3,66,蓝色格zi,1.0,25.0,4.0,1.0,52.0,352.0,1615.0,0.0,0.0,0.0
0,67,魔妖72,1.0,10.0,0.0,1.0,121.0,242.0,321.0,0.0,0.0,0.0
2,68,海拉鲁死鱼,1.0,4.0,0.0,1.0,69.0,159.0,203.0,0.0,0.0,0.0
2,69,绝缘_逻辑,1.0,32.0,1.0,0.0,493.0,358.0,683.0,0.0,0.0,0.0
2,70,白玦,1.0,9.0,0.0,0.0,184.0,521.0,925.0,0.0,0.0,0.0
3,71,ShadowMurlong,1.0,4.0,0.0,1.0,96.0,211.0,166.0,0.0,0.0,0.0
3,72,水饺码头,1.0,0.0,3.0,0.0,52.0,676.0,13300.0,0.0,0.0,0.0
4,73,就叫我亚索吧,1.0,2.0,0.0,0.0,271.0,1987.0,9634.0,0.0,0.0,0.0
0,74,小张张志祥,1.0,31.0,10.0,1.0,1057.0,846.0,4063.0,0.0,0.0,0.0
5,75,Goaheadbb,0.0,0.0,0.0,1.0,992.0,751.0,2286.0,0.0,0.0,0.0
2,76,果茶woye,1.0,5.0,0.0,1.0,43.0,250.0,571.0,0.0,0.0,0.0
3,77,FatMan_久,0.0,0.0,0.0,1.0,808.0,1397.0,3087.0,0.0,0.0,0.0
5,78,用户ysg2kn7stw,0.0,0.0,0.0,1.0,1.0,22.0,21.0,0.0,0.0,0.0
2,79,leon珺,1.0,6.0,1.0,1.0,38.0,200.0,54.0,0.0,0.0,0.0
0,80,_吴叫兽,1.0,3.0,0.0,1.0,43565.0,952.0,484.0,1.0,0.0,1.0
0,81,不瞎折腾不舒服斯基,1.0,9.0,1.0,1.0,363.0,299.0,198.0,0.0,0.0,0.0
2,82,_SCarLetII,1.0,4.0,1.0,1.0,63.0,309.0,849.0,0.0,0.0,0.0
0,83,坑有脑子,1.0,21.0,2.0,1.0,168.0,195.0,361.0,0.0,0.0,0.0
5,84,TOZZ_NextGen,0.0,0.0,0.0,1.0,503.0,269.0,2814.0,0.0,0.0,0.0
5,85,一只开闭闭,0.0,0.0,0.0,1.0,286.0,608.0,1214.0,0.0,0.0,0.0
4,86,amewbaby,0.0,0.0,0.0,0.0,74.0,23.0,408.0,0.0,0.0,0.0
2,87,vensli,1.0,9.0,1.0,1.0,2964.0,645.0,15520.0,0.0,0.0,0.0
2,88,狂乱贵公子,1.0,8.0,0.0,0.0,357.0,131.0,1969.0,0.0,0.0,0.0
4,89,什么时候长尾巴-,1.0,0.0,19.0,0.0,6088.0,299.0,58.0,0.0,0.0,0.0
3,90,散落羽翼丿,0.0,0.0,0.0,0.0,59.0,189.0,55.0,0.0,1.0,0.0
2,91,誓约胜利之王,1.0,9.0,9.0,1.0,647.0,124.0,4487.0,0.0,0.0,0.0
0,92,白石麻衣亲了察,1.0,5.0,0.0,1.0,460.0,2237.0,2030.0,0.0,0.0,1.0
0,93,间桐暴怒,1.0,8.0,1.0,1.0,258.0,653.0,139.0,0.0,1.0,0.0
5,94,xiong的闲居,0.0,0.0,0.0,1.0,29.0,96.0,192.0,0.0,0.0,0.0
4,95,我真的是一只小恐龙啊,1.0,5.0,0.0,0.0,45.0,3355.0,10359.0,0.0,0.0,0.0
3,96,最猪儿,0.0,0.0,0.0,0.0,86.0,263.0,148.0,0.0,0.0,0.0
3,97,盛夏的野兽_,1.0,9.0,0.0,1.0,749.0,699.0,8445.0,0.0,0.0,0.0
3,98,红玉胤紫,1.0,23.0,2.0,1.0,498.0,1081.0,12971.0,1.0,0.0,1.0
0,99,Cecilia_只影空遊,1.0,22.0,4.0,1.0,388.0,833.0,4538.0,0.0,0.0,0.0
2,100,水邪大人,1.0,8.0,1.0,1.0,278.0,273.0,594.0,0.0,0.0,0.0
2,101,养猫少年-阿晨,1.0,17.0,2.0,1.0,39.0,70.0,5.0,0.0,0.0,0.0
0,102,凌汛,1.0,14.0,1.0,1.0,4488.0,1500.0,16945.0,1.0,0.0,1.0
0,103,unscs1337,1.0,5.0,0.0,1.0,143.0,231.0,1867.0,0.0,0.0,0.0
0,104,穿刺仨甲,1.0,68.0,1.0,1.0,2994.0,1024.0,20229.0,0.0,0.0,0.0
3,105,亜空間遊泳,1.0,49.0,1.0,0.0,95.0,64.0,6721.0,0.0,0.0,0.0
4,106,小小小小小雨_,1.0,8.0,0.0,0.0,172.0,83.0,1680.0,0.0,0.0,0.0
4,107,盛夏薇澜,0.0,0.0,0.0,0.0,69.0,79.0,89.0,0.0,1.0,0.0
5,108,鱼饼干_Z,0.0,0.0,0.0,1.0,13.0,86.0,36.0,0.0,0.0,0.0
0,109,水哥的表弟,1.0,20.0,2.0,1.0,823.0,886.0,4476.0,0.0,0.0,0.0
1,110,thewonder,0.0,0.0,0.0,1.0,94.0,319.0,495.0,0.0,0.0,0.0
0,111,社会军规二十三,1.0,15.0,2.0,1.0,690.0,2237.0,2721.0,0.0,0.0,0.0
3,112,黑瞳过年,1.0,11.0,2.0,1.0,186.0,103.0,1705.0,0.0,0.0,0.0
0,113,给贫道来碗酒,1.0,3.0,6.0,1.0,371.0,251.0,10.0,0.0,0.0,0.0
5,114,把记忆结成冰zz,0.0,0.0,0.0,1.0,19.0,49.0,849.0,0.0,1.0,0.0
2,115,Be39_Gph,1.0,40.0,1.0,1.0,43.0,258.0,2971.0,0.0,0.0,0.0
5,116,Lost_2021,0.0,0.0,0.0,1.0,548.0,496.0,1534.0,0.0,0.0,0.0
2,117,胡吃海喝的胖伙计,1.0,6.0,1.0,1.0,51.0,884.0,2165.0,0.0,0.0,1.0
3,118,镰舞死神,1.0,54.0,7.0,1.0,455.0,299.0,674.0,0.0,0.0,0.0
1,119,不思者不语,0.0,0.0,0.0,1.0,60.0,545.0,2182.0,0.0,0.0,0.0
3,120,Ning某,1.0,37.0,7.0,1.0,985.0,2896.0,22824.0,0.0,0.0,1.0
1,121,HaaiHaaiHaai,0.0,0.0,0.0,1.0,594.0,929.0,2950.0,0.0,0.0,0.0
2,122,阿汛吗,1.0,18.0,3.0,1.0,527.0,168.0,387.0,0.0,0.0,0.0
3,123,Ant1m0ny,0.0,0.0,0.0,1.0,72.0,174.0,184.0,0.0,1.0,0.0
2,124,洛书_Anson,1.0,28.0,0.0,1.0,164.0,961.0,903.0,0.0,0.0,0.0
4,125,猫痣,1.0,8.0,3.0,0.0,709.0,96.0,4397.0,0.0,0.0,1.0
0,126,东木火火火火,1.0,13.0,2.0,1.0,1312.0,1101.0,16905.0,0.0,0.0,1.0
0,127,山德鲁大君,1.0,4.0,0.0,1.0,78.0,443.0,1033.0,0.0,0.0,0.0
0,128,庚酱好好吃,1.0,8.0,2.0,1.0,225.0,170.0,453.0,0.0,0.0,0.0
4,129,出生就在罗马,1.0,6.0,4.0,0.0,285.0,364.0,242.0,0.0,0.0,0.0
0,130,天勒个宇,1.0,11.0,2.0,1.0,924.0,1394.0,561.0,0.0,0.0,0.0
2,131,奶爸雪过云清,1.0,4.0,0.0,1.0,2118.0,2371.0,2980.0,0.0,0.0,0.0
3,132,Allen-Z,1.0,3.0,0.0,1.0,1521.0,1502.0,14426.0,0.0,1.0,0.0
0,133,风咏,1.0,12.0,2.0,1.0,164.0,310.0,1007.0,0.0,0.0,0.0
2,134,昨天炖的鱼,1.0,9.0,0.0,1.0,541.0,531.0,1208.0,0.0,0.0,0.0
2,135,醉筠子-躺了,1.0,13.0,0.0,0.0,476.0,2114.0,10193.0,0.0,0.0,0.0
0,136,ar峯,1.0,7.0,4.0,1.0,561.0,817.0,2920.0,0.0,0.0,0.0
3,137,能不能跪下来听我道歉,1.0,22.0,12.0,1.0,1000.0,2274.0,8945.0,0.0,1.0,0.0
5,138,我爱开封菜,0.0,0.0,0.0,1.0,19.0,265.0,265.0,0.0,0.0,0.0
0,139,NickHoward,1.0,5.0,0.0,1.0,561.0,139.0,1905.0,0.0,1.0,0.0
3,140,喵和仓鼠是一家,1.0,14.0,0.0,1.0,146.0,192.0,363.0,0.0,0.0,0.0
2,141,丨Sternen丨,1.0,14.0,0.0,0.0,15.0,56.0,5344.0,0.0,0.0,0.0
0,142,Mr小輝,1.0,14.0,2.0,1.0,272.0,157.0,2234.0,0.0,0.0,0.0
2,143,阿次次饭团咪,1.0,12.0,1.0,1.0,304.0,306.0,3573.0,0.0,0.0,1.0
3,144,333Repeat,1.0,16.0,4.0,0.0,631.0,406.0,3822.0,0.0,0.0,0.0
2,145,鵺之梦,1.0,8.0,0.0,1.0,566.0,613.0,10056.0,0.0,0.0,0.0
3,146,馬将军1989,1.0,11.0,1.0,1.0,2167.0,936.0,24037.0,1.0,0.0,1.0
5,147,逆天围脖_,0.0,0.0,0.0,1.0,55.0,430.0,8498.0,0.0,0.0,0.0
2,148,OK小团长-,1.0,2.0,0.0,1.0,3057.0,2984.0,2984.0,0.0,0.0,0.0
1,149,bozi_Wong,0.0,0.0,0.0,1.0,221.0,238.0,859.0,0.0,0.0,0.0
2,150,天缘skylove,1.0,6.0,0.0,1.0,661.0,387.0,4599.0,0.0,0.0,0.0
0,151,无情大手子,1.0,4.0,0.0,1.0,294.0,223.0,1732.0,0.0,0.0,0.0
1,152,狗狗是小腿子还是九九更是肘肘,0.0,0.0,0.0,1.0,142.0,93.0,2362.0,0.0,0.0,0.0
2,153,一吉desu,1.0,8.0,1.0,1.0,51.0,287.0,12.0,0.0,0.0,0.0
5,154,吮指原,1.0,14.0,2.0,1.0,7158.0,914.0,10128.0,1.0,0.0,0.0
2,155,凌晨一点改微博名,1.0,5.0,0.0,0.0,114.0,277.0,3031.0,0.0,0.0,0.0
0,156,_肉山小魔王-此号已废,1.0,1.0,0.0,1.0,1007.0,333.0,498.0,0.0,0.0,0.0
0,157,无语PK,1.0,17.0,0.0,1.0,1163.0,535.0,2814.0,0.0,0.0,0.0
2,158,焦糖-_-,1.0,10.0,1.0,1.0,93.0,332.0,1326.0,0.0,0.0,1.0
0,159,Abnaq3idmos,1.0,20.0,1.0,1.0,956.0,2573.0,19924.0,0.0,0.0,0.0
0,160,当艾来敲门,1.0,12.0,1.0,1.0,849.0,70.0,439.0,0.0,0.0,0.0
0,161,BoTakWong,1.0,36.0,2.0,1.0,630.0,1163.0,2028.0,0.0,0.0,0.0
0,162,TaTaG,1.0,14.0,3.0,1.0,1657.0,673.0,8708.0,0.0,0.0,1.0
4,163,Morgana_5,1.0,30.0,4.0,0.0,355.0,552.0,7783.0,0.0,0.0,0.0
0,164,Jshiro,1.0,7.0,2.0,1.0,42.0,96.0,518.0,0.0,0.0,0.0
3,165,進擊的暖寶寶-T_T,1.0,5.0,6.0,0.0,556.0,999.0,14117.0,0.0,0.0,0.0
3,166,不爱发博王左军,0.0,0.0,0.0,0.0,53.0,699.0,5546.0,0.0,0.0,0.0
2,167,-夫_子-,1.0,14.0,2.0,1.0,13396.0,2036.0,5298.0,1.0,0.0,1.0
3,168,Tom同学哈哈哈,1.0,15.0,1.0,1.0,23116.0,1543.0,20965.0,1.0,0.0,0.0
0,169,粗超人,1.0,5.0,0.0,1.0,189.0,565.0,152.0,0.0,0.0,0.0
0,170,夏天小熊猫_,1.0,10.0,1.0,1.0,344.0,323.0,730.0,0.0,0.0,0.0
1,171,剪不动了,0.0,0.0,0.0,1.0,581.0,868.0,1444.0,0.0,0.0,0.0
4,172,我不是蛐蛐,1.0,5.0,0.0,1.0,28135.0,4540.0,22628.0,0.0,0.0,0.0
0,173,桃黑亭,1.0,3.0,0.0,1.0,220.0,454.0,5835.0,0.0,1.0,0.0
0,174,suuji,1.0,9.0,1.0,1.0,649.0,201.0,7402.0,0.0,0.0,0.0
3,175,暂时冧唔到冧到话你知,0.0,0.0,0.0,0.0,2543.0,627.0,704.0,0.0,0.0,0.0
5,176,Yama丶M,0.0,0.0,0.0,1.0,26.0,278.0,382.0,0.0,0.0,0.0
4,177,这是小孟呀,1.0,70.0,4.0,0.0,1185.0,592.0,2022.0,0.0,0.0,0.0
2,178,猴猴我啊想飞,1.0,38.0,8.0,0.0,344.0,515.0,11629.0,0.0,0.0,0.0
4,179,M_Flamenco,1.0,11.0,2.0,0.0,13.0,184.0,4382.0,0.0,0.0,0.0
2,180,黑暗福音,1.0,8.0,2.0,1.0,902.0,629.0,25866.0,0.0,0.0,1.0
4,181,喵喵喵喵小靓,1.0,10.0,1.0,0.0,839.0,4518.0,4461.0,0.0,0.0,0.0
2,182,此人核无趣,1.0,1.0,1.0,1.0,474.0,264.0,94.0,0.0,0.0,0.0
4,183,天意如此Eling,1.0,9.0,0.0,0.0,280.0,364.0,1160.0,0.0,0.0,0.0
0,184,芙拉_flouri,1.0,6.0,0.0,0.0,174.0,247.0,6127.0,0.0,0.0,0.0
0,185,快点多谢甘楽哥啦,1.0,3.0,1.0,1.0,80.0,311.0,701.0,0.0,0.0,0.0
4,186,DDDDDlno,1.0,13.0,2.0,0.0,265.0,472.0,26502.0,0.0,0.0,0.0
2,187,不可思尹_,1.0,4.0,1.0,0.0,580.0,350.0,456.0,1.0,0.0,1.0
3,188,七夜菌绝赞社畜中,0.0,0.0,0.0,1.0,53.0,94.0,5.0,0.0,0.0,0.0
4,189,ablettshb,1.0,10.0,1.0,1.0,142.0,1516.0,36438.0,0.0,0.0,0.0
4,190,还是喜欢七只假爱豆,1.0,8.0,1.0,0.0,518.0,433.0,11010.0,0.0,0.0,1.0
3,191,亚拉里亚拉亚拉熊,1.0,56.0,6.0,1.0,308.0,837.0,1947.0,0.0,0.0,0.0
4,192,月司元,1.0,8.0,1.0,0.0,255.0,423.0,1972.0,0.0,0.0,0.0
0,193,非洲煤球部落酋长叁,1.0,11.0,0.0,1.0,378.0,271.0,1343.0,0.0,0.0,0.0
4,194,小桃子么,1.0,5.0,1.0,0.0,192.0,416.0,116.0,0.0,0.0,0.0
4,195,我们没文化的人就是这样的,1.0,7.0,0.0,0.0,212.0,782.0,9628.0,0.0,0.0,0.0
0,196,Jr_Way,1.0,1.0,2.0,1.0,187.0,498.0,1457.0,0.0,0.0,0.0
4,197,七_弹琴去吧弹自由的琴,1.0,8.0,1.0,0.0,171.0,1741.0,25500.0,0.0,0.0,0.0
4,198,coco星星星冰乐,1.0,16.0,0.0,0.0,1290.0,1016.0,1408.0,0.0,0.0,1.0
3,199,chelly丶,1.0,12.0,0.0,1.0,137.0,87.0,493.0,0.0,0.0,0.0
2,200,ReIKiTsuNeNeGi,1.0,44.0,1.0,1.0,537.0,1214.0,5160.0,0.0,0.0,0.0
0,201,邪道专家,1.0,43.0,7.0,1.0,33099.0,104.0,2329.0,1.0,0.0,0.0
3,202,破旧的时光机,1.0,16.0,0.0,1.0,583.0,981.0,13037.0,0.0,0.0,0.0
0,203,风都侦探菲利普,1.0,6.0,0.0,1.0,263.0,481.0,1400.0,0.0,0.0,0.0
2,204,_楪_,1.0,3.0,0.0,1.0,544.0,480.0,893.0,0.0,0.0,0.0
2,205,moeaya,1.0,12.0,8.0,0.0,180.0,529.0,2597.0,0.0,0.0,1.0
0,206,夜歌-Leiko,1.0,7.0,0.0,1.0,202.0,357.0,1012.0,0.0,0.0,0.0
2,207,余尧吉,1.0,7.0,0.0,0.0,709.0,1494.0,4297.0,0.0,0.0,0.0
4,208,打喷嚏的鱼丸,1.0,15.0,2.0,1.0,2115.0,1244.0,23706.0,0.0,0.0,0.0
1,209,哦啊衣喔了_656,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0
5,210,ink麻烦热咯咯我刻薄破功,0.0,0.0,0.0,1.0,635.0,110.0,999.0,0.0,0.0,0.0
5,211,陈超超c,0.0,0.0,0.0,1.0,3680.0,270.0,33.0,0.0,0.0,0.0
0,212,牛小洛nilo,1.0,50.0,0.0,1.0,489.0,325.0,250.0,0.0,0.0,0.0
0,213,Dirk-诺维茨基,1.0,14.0,0.0,1.0,121.0,320.0,2098.0,0.0,1.0,0.0
1,214,warclen,0.0,0.0,0.0,1.0,84.0,152.0,242.0,0.0,0.0,0.0
0,215,Pixel76,1.0,1.0,0.0,1.0,170.0,1092.0,2513.0,0.0,0.0,0.0
2,216,不浪客_孟晓,1.0,8.0,0.0,1.0,117.0,1094.0,281.0,0.0,0.0,0.0
0,217,日月皆有阴晴圆缺,1.0,6.0,1.0,1.0,74.0,699.0,758.0,0.0,0.0,0.0
2,218,AlanWalk,1.0,19.0,2.0,1.0,311.0,209.0,3204.0,0.0,1.0,0.0
0,219,垃圾战士,1.0,24.0,5.0,1.0,3619.0,1241.0,5702.0,0.0,0.0,0.0
2,220,Darius木易三页,1.0,15.0,0.0,1.0,693.0,447.0,5620.0,0.0,0.0,0.0
0,221,-TIN-,1.0,8.0,1.0,1.0,49.0,158.0,1468.0,0.0,0.0,0.0
3,222,__CICC__,1.0,24.0,1.0,0.0,1042.0,4991.0,16553.0,0.0,0.0,0.0
2,223,Aloysius_牟,1.0,3.0,0.0,1.0,1198.0,850.0,4253.0,0.0,0.0,0.0
0,224,LingRxX,1.0,42.0,3.0,1.0,645.0,3791.0,6979.0,0.0,0.0,0.0
0,225,地-瓜,1.0,5.0,8.0,1.0,421.0,366.0,1625.0,0.0,0.0,0.0
4,226,kono呱呱岛,1.0,45.0,9.0,0.0,694.0,461.0,928.0,0.0,0.0,0.0
4,227,细佬b仔唔姓何,1.0,5.0,0.0,0.0,11404.0,1367.0,15747.0,1.0,0.0,1.0
2,228,泉此方Konata,1.0,2.0,0.0,0.0,366.0,428.0,1669.0,0.0,0.0,0.0
